iter	Passed	Remaining
684	1794	825
685	1797	822
686	1799	819
687	1801	817
688	1803	814
689	1806	811
690	1808	808
691	1811	806
692	1813	803
693	1815	800
694	1818	797
695	1820	795
696	1822	792
697	1825	789
698	1828	787
699	1830	784
700	1832	781
701	1835	778
702	1837	776
703	1840	773
704	1842	770
705	1843	767
706	1846	765
707	1848	762
708	1850	759
709	1853	757
710	1855	754
711	1858	751
712	1860	748
713	1862	746
714	1865	743
715	1867	740
716	1870	738
717	1873	735
718	1875	732
719	1877	730
720	1880	727
721	1882	724
722	1884	722
723	1887	719
724	1889	716
725	1892	714
726	1894	711
727	1897	708
728	1899	706
729	1901	703
730	1904	700
731	1906	698
732	1909	695
733	1912	693
734	1915	690
735	1917	687
736	1920	685
737	1922	682
738	1924	679
739	1926	677
740	1929	674
741	1931	671
742	1933	668
743	1936	666
744	1938	663
745	1941	660
746	1943	658
747	1946	655
748	1948	653
749	1950	650
750	1953	647
751	1955	644
752	1957	642
753	1959	639
754	1962	636
755	1964	634
756	1967	631
757	1969	628
758	1972	626
759	1975	623
760	1977	621
761	1980	618
762	1982	615
763	1984	613
764	1987	610
765	1989	607
766	1992	605
767	1994	602
768	1996	599
769	1999	597
770	2001	594
771	2003	591
772	2005	589
773	2008	586
774	2010	583
775	2012	581
776	2015	578
777	2017	575
778	2019	572
779	2022	570
780	2024	567
781	2026	565
782	2029	562
783	2031	559
784	2033	557
785	2036	554
786	2039	551
787	2041	549
788	2043	546
789	2046	543
790	2048	541
791	2050	538
792	2053	535
793	2055	533
794	2057	530
795	2059	527
796	2062	525
797	2064	522
798	2066	519
799	2069	517
800	2071	514
801	2074	512
802	2076	509
803	2078	506
804	2081	504
805	2083	501
806	2085	498
807	2087	496
808	2090	493
809	2092	490
810	2094	488
811	2097	485
812	2099	482
813	2101	480
814	2103	477
815	2105	474
816	2108	472
817	2110	469
818	2112	466
819	2115	464
820	2117	461
821	2119	458
822	2122	456
823	2124	453
824	2126	451
825	2128	448
826	2130	445
827	2133	443
828	2135	440
829	2138	437
830	2140	435
831	2142	432
832	2144	430
833	2147	427
834	2149	424
835	2152	422
836	2154	419
837	2156	416
838	2159	414
839	2161	411
840	2163	409
841	2165	406
842	2168	403
843	2170	401
844	2173	398
845	2175	396
846	2177	393
847	2179	390
848	2182	388
849	2184	385
850	2186	382
851	2189	380
852	2191	377
853	2193	375
854	2196	372
855	2198	369
856	2200	367
857	2202	364
858	2205	361
859	2207	359
860	2209	356
861	2212	354
862	2214	351
863	2217	349
864	2221	346
865	2223	344
866	2225	341
867	2227	338
868	2230	336
869	2232	333
870	2235	331
871	2237	328
872	2240	325
873	2242	323
874	2244	320
875	2247	318
876	2249	315
877	2252	312
878	2254	310
879	2256	307
880	2259	305
881	2261	302
882	2263	299
883	2266	297
884	2268	294
885	2271	292
886	2273	289
887	2275	287
888	2278	284
889	2280	281
890	2282	279
891	2285	276
892	2287	274
893	2289	271
894	2291	268
895	2293	266
896	2296	263
897	2298	261
898	2300	258
899	2303	255
900	2305	253
901	2307	250
902	2309	248
903	2312	245
904	2314	242
905	2316	240
906	2318	237
907	2321	235
908	2323	232
909	2325	230
910	2328	227
911	2331	224
